DATE,MAX_USAGE
2016-10-22,0.3
2016-10-23,0.81
2016-10-24,0.54
2016-10-25,0.39
2016-10-26,0.24
2016-10-27,0.25
2016-10-28,0.15
2016-10-29,0.85
2016-10-30,0.45
2016-10-31,0.43
2016-11-01,0.75
2016-11-02,0.56
2016-11-03,0.89
2016-11-04,0.63
2016-11-05,1.0
2016-11-06,0.23
2016-11-07,0.25
2016-11-08,0.19
2016-11-09,0.27
2016-11-10,0.35
2016-11-11,0.29
2016-11-12,0.55
2016-11-13,0.55
2016-11-14,0.35
2016-11-15,0.17
2016-11-16,0.38
2016-11-17,1.08
2016-11-18,0.73
2016-11-19,0.37
2016-11-20,0.26
2016-11-21,0.37
2016-11-22,0.52
2016-11-23,0.55
2016-11-24,0.69
2016-11-25,0.51
2016-11-26,0.43
2016-11-27,0.39
2016-11-28,1.13
2016-11-29,1.17
2016-11-30,1.97
2016-12-01,1.27
2016-12-02,1.71
2016-12-03,0.56
2016-12-04,0.4
2016-12-05,0.34
2016-12-06,0.75
2016-12-07,0.85
2016-12-08,0.41
2016-12-09,0.45
2016-12-10,0.29
2016-12-11,0.0
2016-12-12,0.58
2016-12-13,1.56
2016-12-14,0.32
2016-12-15,0.25
2016-12-16,0.58
2016-12-17,0.45
2016-12-18,1.02
2016-12-19,1.17
2016-12-20,1.27
2016-12-21,0.91
2016-12-22,1.32
2016-12-23,0.58
2016-12-24,0.91
2016-12-25,1.64
2016-12-26,1.02
2016-12-27,1.19
2016-12-28,1.84
2016-12-29,1.82
2016-12-30,1.4
2016-12-31,0.38
2017-01-01,1.58
2017-01-02,1.96
2017-01-03,0.72
2017-01-04,1.08
2017-01-05,1.93
2017-01-06,1.79
2017-01-07,1.85
2017-01-08,0.72
2017-01-09,0.76
2017-01-10,1.16
2017-01-11,0.42
2017-01-12,1.75
2017-01-13,1.3
2017-01-14,1.46
2017-01-15,1.84
2017-01-16,1.42
2017-01-17,1.32
2017-01-18,1.61
2017-01-19,1.71
2017-01-20,1.43
2017-01-21,1.72
2017-01-22,0.77
2017-01-23,1.77
2017-01-24,1.37
2017-01-25,1.88
2017-01-26,1.65
2017-01-27,2.19
2017-01-28,1.69
2017-01-29,0.38
2017-01-30,0.46
2017-01-31,1.12
2017-02-01,0.84
2017-02-02,1.57
2017-02-03,1.0
2017-02-04,0.35
2017-02-05,0.66
2017-02-06,1.44
2017-02-07,0.73
2017-02-08,0.33
2017-02-09,0.34
2017-02-10,0.3
2017-02-11,1.57
2017-02-12,1.57
2017-02-13,1.09
2017-02-14,0.75
2017-02-15,0.47
2017-02-16,0.4
2017-02-17,0.53
2017-02-18,1.68
2017-02-19,0.86
2017-02-20,0.96
2017-02-21,0.45
2017-02-22,1.96
2017-02-23,2.06
2017-02-24,1.57
2017-02-25,1.85
2017-02-26,1.17
2017-02-27,1.04
2017-02-28,1.41
2017-03-01,1.44
2017-03-02,1.64
2017-03-03,1.73
2017-03-04,1.79
2017-03-05,1.8
2017-03-06,1.29
2017-03-07,1.53
2017-03-08,1.82
2017-03-09,0.39
2017-03-10,0.38
2017-03-11,0.19
2017-03-12,0.3
2017-03-13,0.29
2017-03-14,0.27
2017-03-15,0.34
2017-03-16,0.45
2017-03-17,0.43
2017-03-18,0.37
2017-03-19,0.45
2017-03-20,0.25
2017-03-21,0.22
2017-03-22,0.36
2017-03-23,0.24
2017-03-24,0.95
2017-03-25,1.77
2017-03-26,1.79
2017-03-27,1.16
2017-03-28,0.44
2017-03-29,0.83
2017-03-30,0.68
2017-03-31,0.96
2017-04-01,0.31
2017-04-02,0.3
2017-04-03,0.49
2017-04-04,1.03
2017-04-05,0.37
2017-04-06,0.27
2017-04-07,0.74
2017-04-08,1.82
2017-04-09,0.5
2017-04-10,1.5
2017-04-11,0.54
2017-04-12,0.51
2017-04-13,0.4
2017-04-14,0.29
2017-04-15,0.25
2017-04-16,0.34
2017-04-17,0.22
2017-04-18,0.33
2017-04-19,0.27
2017-04-20,0.19
2017-04-21,0.32
2017-04-22,0.49
2017-04-23,0.17
2017-04-24,0.32
2017-04-25,0.21
2017-04-26,0.24
2017-04-27,0.21
2017-04-28,0.25
2017-04-29,0.24
2017-04-30,0.36
2017-05-01,0.42
2017-05-02,0.64
2017-05-03,0.64
2017-05-04,0.44
2017-05-05,0.4
2017-05-06,0.34
2017-05-07,0.58
2017-05-08,0.35
2017-05-09,0.45
2017-05-10,0.36
2017-05-11,0.26
2017-05-12,0.29
2017-05-13,0.38
2017-05-14,0.2
2017-05-15,0.26
2017-05-16,0.17
2017-05-17,0.25
2017-05-18,0.2
2017-05-19,0.18
2017-05-20,0.48
2017-05-21,0.42
2017-05-22,0.42
2017-05-23,0.2
2017-05-24,0.18
2017-05-25,0.29
2017-05-26,0.23
2017-05-27,0.19
2017-05-28,0.18
2017-05-29,0.22
2017-05-30,0.32
2017-05-31,0.55
2017-06-01,0.2
2017-06-02,0.31
2017-06-03,0.25
2017-06-04,0.38
2017-06-05,0.23
2017-06-06,0.21
2017-06-07,0.0
2017-06-08,0.29
2017-06-09,0.18
2017-06-10,0.42
2017-06-11,0.35
2017-06-12,0.16
2017-06-13,0.16
2017-06-14,0.19
2017-06-15,0.43
2017-06-16,0.43
2017-06-17,0.48
2017-06-18,0.52
2017-06-19,0.5
2017-06-20,0.38
2017-06-21,0.47
2017-06-22,0.51
2017-06-23,0.51
2017-06-24,0.44
2017-06-25,0.24
2017-06-26,0.55
2017-06-27,0.13
2017-06-28,0.39
2017-06-29,0.21
2017-06-30,0.22
2017-07-01,0.17
2017-07-02,0.37
2017-07-03,0.38
2017-07-04,0.42
2017-07-05,0.25
2017-07-06,0.43
2017-07-07,0.43
2017-07-08,0.47
2017-07-09,0.41
2017-07-10,0.47
2017-07-11,0.18
2017-07-12,0.31
2017-07-13,0.45
2017-07-14,0.24
2017-07-15,0.41
2017-07-16,0.68
2017-07-17,0.42
2017-07-18,0.41
2017-07-19,0.19
2017-07-20,0.44
2017-07-21,0.28
2017-07-22,0.28
2017-07-23,0.62
2017-07-24,0.42
2017-07-25,0.41
2017-07-26,0.29
2017-07-27,0.3
2017-07-28,0.41
2017-07-29,0.31
2017-07-30,0.25
2017-07-31,0.52
2017-08-01,0.42
2017-08-02,0.48
2017-08-03,0.42
2017-08-04,0.45
2017-08-05,0.34
2017-08-06,0.23
2017-08-07,0.38
2017-08-08,0.31
2017-08-09,0.28
2017-08-10,0.22
2017-08-11,0.38
2017-08-12,0.32
2017-08-13,0.2
2017-08-14,0.22
2017-08-15,0.38
2017-08-16,0.38
2017-08-17,0.26
2017-08-18,0.3
2017-08-19,0.45
2017-08-20,0.28
2017-08-21,0.3
2017-08-22,0.24
2017-08-23,0.33
2017-08-24,0.2
2017-08-25,0.41
2017-08-26,0.45
2017-08-27,0.41
2017-08-28,0.61
2017-08-29,0.27
2017-08-30,0.42
